"data","represa","nivel","vabs","vrel","vmax","afluente","descarregada","tunel"
"2015-02-24","J",750.99,26.40,35.6,74.09,8.05,0.05,3.95
"2015-02-24","T",743.20,30.25,35.5,85.20,7.78,0.10,-1
"2015-02-25","PN",754.15,30.30,9.2,329.37,3.53,7.09,-1
"2015-02-25","P",762.19,11.40,31.0,36.73,0.94,1.57,5.67
"2015-02-25","B",750.84,6.29,13.0,48.42,2.57,0.12,7.67
"2015-02-25","J",751.03,26.87,36.3,74.09,9.53,0.05,4.06
"2015-02-25","T",743.18,30.03,35.2,85.20,8.85,0.10,-1
"2015-02-26","PN",754.13,30.09,9.1,329.37,5.60,8.85,-1
"2015-02-26","P",762.19,11.40,31.0,36.73,1.57,1.57,6.02
"2015-02-26","B",750.84,6.29,13.0,48.42,1.82,0.12,7.72
"2015-02-26","J",751.08,27.46,37.1,74.09,10.91,0.05,4.06
"2015-02-26","T",743.17,29.92,35.1,85.20,10.25,0.10,-1
"2015-02-27","PN",754.10,29.79,9.0,329.37,4.75,8.96,-1
"2015-02-27","P",762.18,11.37,31.0,36.73,1.26,1.57,6.83
"2015-02-27","B",750.89,6.48,13.4,48.42,2.40,0.12,6.83
"2015-02-27","J",751.10,27.69,37.4,74.09,6.84,0.05,4.06
"2015-02-27","T",743.16,29.82,35.0,85.20,10.02,0.10,-1
"2015-02-28","PN",754.06,29.38,8.9,329.37,3.55,8.96,-1
"2015-02-28","P",762.16,11.31,30.8,36.73,0.94,1.57,7.75
"2015-02-28","B",750.92,6.60,13.6,48.42,1.50,0.12,7.75
"2015-02-28","J",751.14,28.16,38.0,74.09,9.58,0.05,4.06
"2015-02-28","T",743.14,29.60,34.7,85.20,9.30,0.10,-1
"2015-03-01","PN",754.11,29.89,9.1,329.37,7.62,8.96,-1
"2015-03-01","P",762.19,11.40,31.0,36.73,2.51,1.57,8.80
"2015-03-01","B",751.00,6.92,14.3,48.42,3.82,0.12,8.80
"2015-03-01","J",751.22,29.12,39.3,74.09,15.12,0.05,4.06
"2015-03-01","T",743.12,29.39,34.5,85.20,9.56,0.10,-1
"2015-03-02","PN",754.14,30.19,9.2,329.37,16.82,5.02,-1
"2015-03-02","P",762.18,11.37,31.0,36.73,1.26,1.57,5.56
"2015-03-02","B",751.06,7.17,14.8,48.42,2.93,0.12,5.56
"2015-03-02","J",751.28,29.83,40.3,74.09,12.62,0.05,4.26
"2015-03-02","T",743.10,29.17,34.2,85.20,9.22,0.10,-1
"2015-03-03","PN",754.13,30.09,9.1,329.37,5.01,3.50,-1
"2015-03-03","P",762.17,11.34,30.9,36.73,1.26,1.57,8.91
"2015-03-03","B",751.11,7.37,15.2,48.42,2.48,0.12,8.91
"2015-03-03","J",751.32,30.31,40.9,74.09,9.88,0.05,4.26
"2015-03-03","T",743.10,29.17,34.2,85.20,11.22,0.10,-1
"2015-03-04","PN",754.10,29.79,9.0,329.37,5.79,7.81,-1
"2015-03-04","P",762.17,11.34,30.9,36.73,1.57,1.57,9.03
"2015-03-04","B",751.15,7.53,15.6,48.42,2.02,0.12,9.03
"2015-03-04","J",751.37,30.92,41.7,74.09,11.30,0.05,4.26
"2015-03-04","T",743.08,28.96,34.0,85.20,10.08,0.10,-1
"2015-03-05","PN",754.05,29.28,8.9,329.37,4.14,8.96,-1
"2015-03-05","P",762.15,11.29,30.7,36.73,0.94,1.57,8.80
"2015-03-05","B",751.17,7.62,15.7,48.42,1.07,0.12,8.80
"2015-03-05","J",751.41,31.40,42.4,74.09,10.00,0.05,4.34
"2015-03-05","T",743.07,28.85,33.9,85.20,10.63,0.10,-1
"2015-03-06","PN",754.01,28.88,8.8,329.37,5.25,8.96,-1
"2015-03-06","P",762.13,11.23,30.6,36.73,0.95,1.57,4.17
"2015-03-06","B",751.20,7.74,16.0,48.42,1.56,0.12,4.17
"2015-03-06","J",751.41,31.40,42.4,74.09,4.39,0.05,4.34
"2015-03-06","T",743.02,28.32,33.2,85.20,5.86,0.10,-1
"2015-03-07","PN",753.99,28.68,8.7,329.37,4.40,5.70,-1
"2015-03-07","P",762.13,11.23,30.6,36.73,1.57,1.57,8.56
"2015-03-07","B",751.24,7.91,16.3,48.42,2.04,0.12,8.56
"2015-03-07","J",751.47,32.13,43.4,74.09,13.01,0.05,4.51
"2015-03-07","T",743.00,28.11,33.0,85.20,9.49,0.10,-1
"2015-03-08","PN",753.99,28.68,8.7,329.37,5.57,4.36,-1
"2015-03-08","P",762.12,11.21,30.5,36.73,1.26,1.57,8.68
"2015-03-08","B",751.33,8.28,17.1,48.42,4.49,0.12,8.68
"2015-03-08","J",751.56,33.24,44.9,74.09,17.88,0.05,5.06
"2015-03-08","T",743.01,28.22,33.1,85.20,12.98,0.10,-1
"2015-03-09","PN",754.00,28.78,8.7,329.37,6.64,4.36,-1
"2015-03-09","P",762.16,11.31,30.8,36.73,2.82,1.57,8.45
