"";"x"
"Nov 1997";40,7
"Dez 1997";46,8
"Jan 1998";43,6
"Fev 1998";67
"Mar 1998";53,1
"Abr 1998";36,2
"Mai 1998";35,8
"Jun 1998";26,2
"Jul 1998";21
"Ago 1998";16,7
"Set 1998";20,5
"Out 1998";42,4
"Nov 1998";27,3
"Dez 1998";52,7
"Jan 1999";122,3
"Fev 1999";89,2
"Mar 1999";66,5
"Abr 1999";40,1
"Mai 1999";30,5
"Jun 1999";32,7
"Jul 1999";22,8
"Ago 1999";16,8
"Set 1999";20,9
"Out 1999";15,4
"Nov 1999";16,8
"Dez 1999";30,5
"Jan 2000";66,5
"Fev 2000";64,5
"Mar 2000";46,3
"Abr 2000";31,4
"Mai 2000";20,1
"Jun 2000";17,3
"Jul 2000";19,7
"Ago 2000";19,3
"Set 2000";28,5
"Out 2000";14
"Nov 2000";33,8
"Dez 2000";52,6
"Jan 2001";41
"Fev 2001";53,4
"Mar 2001";40,2
"Abr 2001";32,5
"Mai 2001";23,8
"Jun 2001";17,7
"Jul 2001";15,8
"Ago 2001";14,3
"Set 2001";17,2
"Out 2001";36,8
"Nov 2001";34
"Dez 2001";54,2
"Jan 2002";75,4
"Fev 2002";71,9
"Mar 2002";54,9
"Abr 2002";39,4
"Mai 2002";29,1
"Jun 2002";21,1
"Jul 2002";16,8
"Ago 2002";19,5
"Set 2002";20
"Out 2002";14,6
"Nov 2002";25,8
"Dez 2002";32,5
"Jan 2003";79,4
"Fev 2003";55
"Mar 2003";37,9
"Abr 2003";24,7
"Mai 2003";21,4
"Jun 2003";16,5
"Jul 2003";13,9
"Ago 2003";12
"Set 2003";11,8
"Out 2003";18,9
"Nov 2003";21,9
"Dez 2003";40,1
"Jan 2004";34,8
"Fev 2004";62,4
"Mar 2004";39,3
"Abr 2004";36,3
"Mai 2004";34,6
"Jun 2004";40,4
"Jul 2004";32,5
"Ago 2004";19,4
"Set 2004";15,9
"Out 2004";26,9
"Nov 2004";33,3
"Dez 2004";39
"Jan 2005";78,8
"Fev 2005";55,3
