"";"a0";"a1";"a3";"V.0";"dp";"sigma"
"2015-07-11 09:04:37";9,62099559963494;0,807871781672547;0,59;63800750,0000001;32000000,0000001;0,00619251797781532
"2015-07-12 09:24:31";9,06542537951857;0,836687149479177;0,59;62819199,9999999;32000000,0000001;0,00570562871189697
"2015-07-13 10:24:34";9,40355753029083;0,821063435717357;0,59;61837650;32000000,0000001;0,00525527614143699
"2015-07-13 17:44:47";9,39815167308781;0,822463142005523;0,59;61837650;32000000,0000001;0,00425505541025139
"2015-07-14 08:44:33";9,49192431074088;0,817180370069895;0,59;61280000;32000000,0000001;0,00719884823728097
"2015-07-15 11:24:31";9,84161592594733;0,803306024381956;0,59;60120000,0000001;32000000,0000001;0,00594150916351721
"2015-07-16 11:44:31";9,53552558720591;0,825924887873162;0,59;58860000;32000000,0000001;0,00587057259614521
"2015-07-17 15:24:29";9,00650524148416;0,851695636742133;0,59;57640000;32000000,0000001;0,00458089618359687
"2015-07-18 09:24:25";9,67416563878107;0,819445357786773;0,59;56599999,9999999;32000000,0000001;0,00650669468364302
"2015-07-19 10:05:45";9,20240657846964;0,845891935146837;0,59;55290000;32000000,0000001;0,00458784039864505
"2015-07-20 10:04:18";9,8111686613646;0,822719329485082;0,59;53940000;32000000,0000001;0,00645257369982632
"2015-07-21 11:24:23";10,0854507483371;0,810908546869318;0,59;53089999,9999999;32000000,0000001;0,00668933449750956
"2015-07-22 10:04:27";9,80620843491644;0,82858027432085;0,59;52100000,0000001;32000000,0000001;0,00613025608815854
