"data","manancial","volume","pluviometria","pluviometriaacmes","mediames"
"2003-1-22","sistemaAltoTiete","40.9","40.8","162.6","245.4"
"2003-1-22","sistemaGuarapiranga","39.0","24.6","121.8","225.2"
"2003-1-22","sistemaCotia","37.9","55.9","183.6","224.8"
"2003-1-22","sistemaRioGrande","97.5","71.5","166.9","234.4"
"2003-1-22","sistemaRioClaro","65.5","27.8","132.1","287.8"
"2003-1-23","sistemaCantareira","49.2","18.2","320.0","253.0"
"2003-1-23","sistemaAltoTiete","41.2","2.2","164.8","245.4"
"2003-1-23","sistemaGuarapiranga","40.0","18.4","140.2","225.2"
"2003-1-23","sistemaCotia","39.4","24.1","207.7","224.8"
"2003-1-23","sistemaRioGrande","98.1","6.5","173.4","234.4"
"2003-1-23","sistemaRioClaro","65.6","3.2","135.3","287.8"
"2003-1-24","sistemaCantareira","50.1","22.2","342.3","253.0"
"2003-1-24","sistemaAltoTiete","41.4","4.3","169.1","245.4"
"2003-1-24","sistemaGuarapiranga","40.7","13.4","153.6","225.2"
"2003-1-24","sistemaCotia","40.9","17.6","225.3","224.8"
"2003-1-24","sistemaRioGrande","98.5","3.6","177.0","234.4"
"2003-1-24","sistemaRioClaro","65.7","3.6","138.9","287.8"
"2003-1-25","sistemaCantareira","51.1","1.1","343.3","253.0"
"2003-1-25","sistemaAltoTiete","41.6","10.3","179.4","245.4"
"2003-1-25","sistemaGuarapiranga","41.4","6.2","159.8","225.2"
"2003-1-25","sistemaCotia","42.3","5.8","231.1","224.8"
"2003-1-25","sistemaRioGrande","98.3","1.9","178.9","234.4"
"2003-1-25","sistemaRioClaro","68.6","40.8","179.7","287.8"
"2003-1-26","sistemaCantareira","52.1","4.1","347.5","253.0"
"2003-1-26","sistemaAltoTiete","41.7","2.1","181.5","245.4"
"2003-1-26","sistemaGuarapiranga","41.8","1.4","161.2","225.2"
"2003-1-26","sistemaCotia","43.1","0.9","232.0","224.8"
"2003-1-26","sistemaRioGrande","98.5","1.3","180.2","234.4"
"2003-1-26","sistemaRioClaro","68.8","6.2","185.9","287.8"
"2003-1-27","sistemaCantareira","53.3","18.5","366.0","253.0"
